5 3581951 211 28.6 10.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 212 32.0 19.3  5.919999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 213 22.0 17.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 214 19.9 12.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 215 21.9 15.0 27.019999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 216 21.5 10.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 217 25.3 13.7   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 218 26.5 11.5   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 219 32.0 11.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 220 31.0 16.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 221 27.7 14.1   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 222 26.4  9.2   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 223 30.0 13.8 30.219999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 224 21.8  9.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 225 22.6 12.4   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 226 23.8  9.5   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 227 23.7  8.8 33.019999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 228 20.6 16.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 1 25.7  9.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 2 25.4 10.2   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 3 29.4  9.7   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 4 21.3 10.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 5 23.4  6.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 6 25.6 10.2   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 7 29.7 11.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 8 31.4  9.7   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 3 9 29.4  8.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 310 20.4 17.2  4.319999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 311 21.9 10.6   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 312 26.6  4.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 313 28.4  9.6   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 314 24.0  6.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 315 30.2  9.7   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 316 23.9 14.8 11.319999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 317 23.7 13.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 318 25.0 15.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 319 30.7 12.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 320 29.0 16.2  3.019999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 321 32.0 14.2   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 322 24.0 10.2   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 323 28.8  9.8 12.519999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 324 26.0  9.5   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 325 26.0  9.7   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 326 23.6  9.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 327 23.0  8.2   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 328 26.6  9.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 329 26.2  8.3   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 330 24.0  5.2  1.019999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 331 26.0  6.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 1 19.0  5.2   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 2 18.8  2.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 3 19.0  3.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 4 21.6  1.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 5 24.0  1.7   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 6 22.0  2.2   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 7 23.7  2.3   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 8 27.8 16.3   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 4 9 30.0 17.1   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 410 20.0 18.7 35.019999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 411 16.0 10.2  8.619999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 412 18.0 11.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 413 17.9  6.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 414 19.8  3.8   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
5 3581951 415 21.0  5.0   .009999-99.9-99.9-99.9-99.9-9.9-99-9.9-99-99.99-99-99.9-9.9-9.9
