CODIGO.NH,ESTACION,PROVINCIA,ORGANISMO,LATITUD,LONGITUD,ALTURA
NH0178.DAT,Nueve de Julio,Buenos Aires, SMN,-35.45,-60.88,76
NH0057.DAT,Oberá,Corrientes, SMN,-27.48,-55.13,343
NH0531.DAT,Olavarría,Buenos Aires, SMN,-36.88,-60.22,166
NH0472.DAT,Oliveros,Santa Fe,INTA,-32.55,-60.85,26
NH0339.DAT,Orán,Salta, SMN,-23.15,-64.32,357
NH0113.DAT,Paraná,Entre Ríos, SMN,-31.78,-60.48,78
NH0114.DAT,Paraná,Entre Ríos,INTA,-31.83,-60.52,110
NH0307.DAT,Paso de Indios ,Chubut, SMN,-43.82,-68.88,460
NH0346.DAT,Paso de los Libres,Corrientes, SMN,-29.68,-57.15,70
NH0456.DAT,Pehuajó,Buenos Aires, SMN,-35.87,-61.9,87
NH0145.DAT,Pergamino,Buenos Aires,INTA,-33.93,-60.55,65
NH0272.DAT,Perito Moreno ,Santa Cruz, SMN,-46.52,-71.02,429
NH0206.DAT,Pigüé,Buenos Aires, SMN,-37.6,-62.38,304
NH0111.DAT,Pilar,Córdoba, SMN,-31.67,-63.88,338
NH0362.DAT,Posadas,Misiones, SMN,-27.37,-55.97,133
NH0280.DAT,Puerto Deseado,Santa Cruz, SMN,-47.73,-65.92,80
NH0177.DAT,Punta Indio ,Buenos Aires, SMN,-35.37,-57.28,22
NH0098.DAT,Rafaela,Santa Fe,INTA,-31.18,-61.55,100
NH0309.DAT,Reconquista,Santa Fe, SMN,-29.18,-59.7,53
NH0437.DAT,Reconquista,Santa Fe,INTA,-29.25,-59.73,42
NH0489.DAT,Resistencia,Chaco, SMN,-27.45,-59.05,52
NH0229.DAT,Río Colorado,Río Negro, SMN,-39.02,-64.08,79
NH0138.DAT,Río Cuarto,Córdoba, SMN,-33.12,-64.23,421
NH0293.DAT,Río Gallegos,Santa Cruz,SMN,-51.62,-69.28,20
NH0296.DAT,Río Grande,Tierra del Fuego, SMN,-53.8,-67.75,22
NH0458.DAT,Río Hondo,Santiago del Estero,SMN,-27.29,-64.56,280
NH0006.DAT,Rivadavia,Salta, SMN,-24.17,-62.9,205
NH0034.DAT,P. Roque Saenz Peña,Chaco, SMN,-26.82,-60.45,92
NH0415.DAT,P. Roque Saenz Peña,Chaco,INTA,-26.87,-60.45,90
NH0133.DAT,Rosario,Santa Fe, SMN,-32.92,-60.78,25
NH0012.DAT,Salta,Salta, SMN,-24.85,-65.48,1221
NH0241.DAT,San Antonio Oeste,Río Negro, SMN,-40.73,-64.95,7
NH0143.DAT,San Carlos ,Mendoza, SMN,-33.77,-69.03,940
NH0553.DAT,San Fernando ,Buenos Aires, SMN,-34.45,-58.58,3
NH0495.DAT,San Juan,San Juan, SMN,-31.57,-68.42,598
NH0445.DAT,San Juan ,San Juan,INTA,-31.37,-68.32,618
NH0285.DAT,San Julian ,Santa Cruz, SMN,-49.32,-67.75,29
NH0139.DAT,San Luis,San Luis, SMN,-33.27,-66.35,713
NH0370.DAT,San Martin-Mza.,Mendoza, SMN,-33.08,-68.42,653
NH0154.DAT,San Miguel ,Buenos Aires, SMN,-34.55,-58.73,26
NH0492.DAT,San Pedro,Buenos Aires,INTA,-33.68,-59.68,28
NH0325.DAT,San Rafael ,Mendoza, SMN,-34.58,-68.4,748
NH0289.DAT,Santa Cruz ,Santa Cruz, SMN,-50.02,-68.57,113
NH0192.DAT,Santa Rosa,La Pampa, SMN,-36.57,-64.27,191
NH0572.DAT,Santa Rosa de Conlara ,San Luis, SMN,-32.67,-65.32,620
NH0547.DAT,Santa Teresita ,Buenos Aires, SMN,-36.55,-56.7,
NH0062.DAT,Santiago del Estero,Santiago del Estero, SMN,-27.77,-64.3,199
NH0451.DAT,Sauce Viejo,Santa Fe, SMN,-31.7,-60.82,18
NH0311.DAT,Tandil,Buenos Aires, SMN,-37.23,-59.25,175
NH0326.DAT,Tartagal,Salta, SMN,-22.65,-63.82,450
NH0065.DAT,Tinogasta ,Catamarca, SMN,-28.07,-67.57,1201
NH0558.DAT,Tolhuin ,Tierra del Fuego, SMN,-54.53,-67.22,105
NH0258.DAT,Trelew ,Chubut, SMN,-43.2,-65.26,43
NH0185.DAT,Trenque Lauquen ,Buenos Aires, SMN,-35.97,-62.74,95
NH0490.DAT,Tres Arroyos,Buenos Aires, SMN,-38.33,-60.25,115
NH0017.DAT,Tucumán,Tucumán, SMN,-26.85,-65.1,450
NH0298.DAT,Ushuaia,Tierra del Fuego, SMN,-54.8,-68.32,14
NH0308.DAT,Uspallata ,Mendoza, SMN,-32.6,-69.33,1891
NH0551.DAT,Venado Tuerto,Santa Fe, SMN,-33.75,-61.95,65
NH0188.DAT,Victorica ,La Pampa, SMN,-36.22,-65.43,312
NH0501.DAT,Viedma,Río Negro, SMN,-40.85,-63.02,7
NH0117.DAT,Villa Dolores,Córdoba, SMN,-31.95,-65.13,569
NH0013.DAT,Villa Gesell ,Buenos Aires, SMN,-37.25,-57,9
NH0082.DAT,V.Maria del Río Seco,Córdoba, SMN,-29.9,-63.68,341
NH0439.DAT,Villa Mercedes,San Luis,INTA,-33.72,-65.48,515
NH0156.DAT,V.Ortuzar,Buenos Aires, SMN,-34.58,-58.48,25
NH0335.DAT,Villa Reynolds,San Luis, SMN,-33.73,-65.38,486
NH0522.DAT,Yaciretá ,Corrientes, SMN,-27.57,-56.68,72
NH0046.DAT,Zavalla-Univ.,Santa Fe,INTA,-33.02,-60.88,50
NH0075.DAT,Mercedes,Corrientes, SMN,-29.23,-58.08,107
NH0573.DAT,Rafaela,Santa Fe, SMN,-31.27,-61.5,99
NH0574.DAT,Sunchales ,Santa Fe, SMN,-30.97,-61.33,92
NH0989.DAT,Capilla del Monte ,Córdoba, INTA,-30.87,-64.55,
NH0332.DAT,Buenos Aires,Buenos Aires,SMN,-34.57,-58.42,6
